Gene stable ID	Gene name	Gene description	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	protein_coding	7	96120220	96322147	-1
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	protein_coding	7	116953238	117230103	1
ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	protein_coding	17	47117703	47189422	-1
ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	protein_coding	X	11111301	11123078	1
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	protein_coding	17	7225341	7234545	-1
ENSG00000005007	UPF1	UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	protein_coding	19	18831938	18868236	1
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	protein_coding	7	26667062	26995239	-1
ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	protein_coding	X	119468400	119471319	1
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]	protein_coding	4	109560205	109688726	1
ENSG00000005075	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	protein_coding	7	102473118	102478907	-1
ENSG00000005100	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]	protein_coding	17	5440912	5469060	-1
ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	protein_coding	17	34980494	35009743	1
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	protein_coding	12	47661249	47706061	-1
ENSG00000005189	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	protein_coding	16	20806429	20849668	1
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	protein_coding	16	57428169	57447528	-1
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]	protein_coding	19	2328615	2354806	1
ENSG00000005238	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]	protein_coding	9	35104112	35116341	-1
ENSG00000005243	COPZ2	coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	protein_coding	17	48026167	48038030	-1
ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	protein_coding	7	107044649	107161811	1
ENSG00000005302	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	protein_coding	X	11758159	11775753	1
ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	protein_coding	16	3725054	3880726	-1
ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	protein_coding	17	58301228	58328760	-1
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	protein_coding	2	75652000	75710989	-1
ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	protein_coding	2	74421678	74425755	1
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	protein_coding	7	87345681	87399795	1
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	protein_coding	7	87401697	87480435	-1
ENSG00000005483	KMT2E	lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]	protein_coding	7	105014179	105114361	1
ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	protein_coding	7	75842602	75888926	1
ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	protein_coding	6	82169983	82247754	-1
ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	protein_coding	11	3339261	3379222	-1
ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]	protein_coding	13	77044655	77327050	-1
ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	protein_coding	13	76992598	77027195	-1
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	protein_coding	17	50094737	50112152	1
ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	protein_coding	17	50055968	50090481	1
ENSG00000005889	ZFX	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	protein_coding	X	24149173	24216255	1
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	protein_coding	X	120427827	120469365	-1
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	protein_coding	16	19501689	19522145	-1
ENSG00000006015	REX1BD	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	protein_coding	19	18588685	18592336	1
ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	protein_coding	19	18572220	18607741	-1
ENSG00000006025	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	protein_coding	17	47807372	47821834	-1
ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	protein_coding	17	32927910	32945106	1
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]	protein_coding	17	45263121	45317040	-1
ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	protein_coding	11	60924463	60937159	1
ENSG00000006125	AP2B1	adaptor related protein complex 2 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]	protein_coding	17	35578046	35726409	1
ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]	protein_coding	16	3263800	3301401	1
ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]	protein_coding	17	50543058	50555852	1
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	protein_coding	17	50561068	50627474	1
ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	protein_coding	16	3018445	3022383	1
ENSG00000006451	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	protein_coding	7	39623483	39708124	1
ENSG00000006453	BAIAP2L1	BAI1 associated protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	protein_coding	7	98291651	98401068	-1
ENSG00000006459	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	protein_coding	7	140084746	140177035	-1
ENSG00000006468	ETV1	ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]	protein_coding	7	13891228	13991425	-1
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	protein_coding	7	141551189	141655244	1
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	protein_coding	11	68008578	68029282	1
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	protein_coding	7	77798792	77957503	1
ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]	protein_coding	2	241356243	241494841	1
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]	protein_coding	7	30496621	30504844	-1
ENSG00000006634	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	protein_coding	7	87876216	87909541	1
ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	protein_coding	19	3594506	3606840	-1
ENSG00000006652	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	protein_coding	7	112422968	112481017	1
ENSG00000006695	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]	protein_coding	17	14069496	14208677	1
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]	protein_coding	7	74453790	74602604	1
ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	protein_coding	19	39385852	39391195	-1
ENSG00000006715	VPS41	VPS41, HOPS complex subunit [Source:HGNC Symbol;Acc:HGNC:12713]	protein_coding	7	38722963	38932394	-1
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	protein_coding	17	12789539	12991643	1
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]	protein_coding	17	12992391	13018187	-1
ENSG00000006756	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	protein_coding	X	2903970	2929351	-1
ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]	protein_coding	X	7898247	7927739	-1
ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	protein_coding	12	1688574	1788678	1
ENSG00000007047	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	protein_coding	19	45079288	45305283	1
ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	protein_coding	19	17933016	17943991	1
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	protein_coding	17	2593210	2685615	1
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]	protein_coding	17	28614440	28645454	-1
ENSG00000007237	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	protein_coding	17	9910609	10198551	-1
ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]	protein_coding	19	45162928	45178237	-1
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	protein_coding	1	112523518	112620825	-1
ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	protein_coding	11	31784779	31818062	-1
ENSG00000007376	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	protein_coding	16	784974	788397	-1
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	protein_coding	16	58059	76355	-1
ENSG00000007392	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	protein_coding	16	188969	229463	-1
ENSG00000007520	TSR3	TSR3, acp transferase ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	protein_coding	16	1349240	1351911	-1
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	protein_coding	16	566995	584136	1
ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	protein_coding	16	1612325	1677908	1
ENSG00000007866	TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	protein_coding	6	35473597	35497076	-1
ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	protein_coding	1	6634168	6701924	-1
ENSG00000007933	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	protein_coding	1	171090877	171117819	1
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]	protein_coding	6	16129125	16148248	1
ENSG00000008018	PSMB1	proteasome subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	protein_coding	6	170535117	170553341	-1
ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]	protein_coding	6	15246296	15522040	1
ENSG00000008086	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	protein_coding	X	18425583	18653629	1
ENSG00000008128	CDK11A	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]	protein_coding	1	1702730	1724324	-1
ENSG00000008130	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	protein_coding	1	1751232	1780457	-1
ENSG00000008256	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	protein_coding	7	6161776	6272644	-1
ENSG00000008282	SYPL1	synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]	protein_coding	7	106090503	106112576	-1
ENSG00000008283	CYB561	cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]	protein_coding	17	63432304	63446378	-1
ENSG00000008294	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]	protein_coding	17	50962174	51120865	-1
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	protein_coding	3	48636469	48662915	-1
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	protein_coding	7	122075647	122144280	-1
ENSG00000008324	SS18L2	SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]	protein_coding	3	42581840	42595114	1
ENSG00000008382	MPND	MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]	protein_coding	19	4343527	4360086	1
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	protein_coding	12	16347142	16609259	1
ENSG00000008405	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]	protein_coding	12	106991364	107093829	-1
ENSG00000008441	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	protein_coding	19	12995608	13098796	1
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]	protein_coding	8	133454848	133571940	-1
ENSG00000008517	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	protein_coding	16	3065297	3082192	1
ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	protein_coding	16	2088710	2135898	-1
ENSG00000008838	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	protein_coding	17	40019097	40061215	-1
ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	protein_coding	8	22987417	23020199	1
ENSG00000008869	HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	protein_coding	2	36968383	37084342	-1
ENSG00000008952	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	protein_coding	3	169966635	169998373	1
ENSG00000008988	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	protein_coding	8	56067295	56074581	-1
ENSG00000009307	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	protein_coding	1	114716913	114758676	-1
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	protein_coding	7	157138913	157269372	1
ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	protein_coding	6	111299028	111483715	-1
ENSG00000009724	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	protein_coding	1	11026523	11047233	-1
ENSG00000009780	FAM76A	family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]	protein_coding	1	27725979	27763122	1
ENSG00000009830	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	protein_coding	14	77274956	77320884	-1
ENSG00000009844	VTA1	vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	protein_coding	6	142147162	142224689	1
ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]	protein_coding	7	73440398	73522278	-1
ENSG00000010017	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	protein_coding	6	13621498	13711564	-1
ENSG00000010072	SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	protein_coding	1	231337104	231355023	1
ENSG00000010165	METTL13	methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248]	protein_coding	1	171781664	171814023	1
ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	protein_coding	12	4562204	4615302	1
ENSG00000010244	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]	protein_coding	17	32350117	32381886	1
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	protein_coding	3	48599002	48610976	-1
ENSG00000010270	STARD3NL	STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]	protein_coding	7	38178222	38230671	1
ENSG00000010278	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	protein_coding	12	6199715	6238271	1
ENSG00000010292	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	protein_coding	12	6493356	6531955	1
ENSG00000010295	IFFO1	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]	protein_coding	12	6538375	6556083	-1
ENSG00000010318	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	protein_coding	3	52410657	52423641	1
ENSG00000010322	NISCH	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]	protein_coding	3	52455118	52493071	1
ENSG00000010361	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	protein_coding	19	49806869	49817376	-1
ENSG00000010404	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	protein_coding	X	149476990	149521096	-1
ENSG00000010438	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	protein_coding	9	33750466	33799231	1
ENSG00000010539	ZNF200	zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]	protein_coding	16	3222325	3236221	-1
