Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	Gene description	Chromosome/scaffold name
ENSDARG00000095834	46250113	46251822	1	AL954317.1	processed_transcript		1
ENSDARG00000015793	38897836	38954874	1	creb3l1	protein_coding	cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181]	7
ENSDARG00000044573	39120306	39148199	1	cdc42	protein_coding	cell division cycle 42 [Source:ZFIN;Acc:ZDB-GENE-030131-8783]	11
ENSDARG00000025206	6232895	6313808	1	syt2a	protein_coding	synaptotagmin IIa [Source:ZFIN;Acc:ZDB-GENE-060503-315]	23
ENSDARG00000042189	10967461	10995410	-1	tspan33b	protein_coding	tetraspanin 33b [Source:ZFIN;Acc:ZDB-GENE-060503-607]	18
ENSDARG00000076270	45226586	45279411	-1	adamts13	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 13 [Source:ZFIN;Acc:ZDB-GENE-070814-7]	8
ENSDARG00000045415	8904135	8973300	1	gnal	protein_coding	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type [Source:ZFIN;Acc:ZDB-GENE-041114-26]	24
ENSDARG00000100099	36473781	36484943	-1	si:dkey-238o14.1	protein_coding	si:dkey-238o14.1 [Source:ZFIN;Acc:ZDB-GENE-081103-10]	4
ENSDARG00000087916	24571812	24582606	-1	tmem240a	protein_coding	transmembrane protein 240a [Source:ZFIN;Acc:ZDB-GENE-090313-306]	23
ENSDARG00000023058	6793001	6810785	1	foxo3a	protein_coding	forkhead box O3A [Source:ZFIN;Acc:ZDB-GENE-050116-1]	17
ENSDARG00000100738	8492640	8526105	1	osmr	protein_coding	oncostatin M receptor [Source:ZFIN;Acc:ZDB-GENE-060526-48]	5
ENSDARG00000097888	11097869	11099720	-1	BX293559.1	lincRNA		15
ENSDARG00000067711	5068442	5084539	1	parvg	protein_coding	parvin, gamma [Source:ZFIN;Acc:ZDB-GENE-070410-67]	25
ENSDARG00000091834	38705425	38745598	-1	si:ch211-198m17.1	protein_coding	si:ch211-198m17.1 [Source:ZFIN;Acc:ZDB-GENE-131127-451]	3
ENSDARG00000068468	39443874	39511864	1	dnah3	protein_coding	dynein axonemal heavy chain 3 [Source:ZFIN;Acc:ZDB-GENE-091112-7]	24
ENSDARG00000101806	36354863	36356642	1	or104-1	protein_coding	odorant receptor, family C, subfamily 104, member 1 [Source:ZFIN;Acc:ZDB-GENE-070806-53]	10
ENSDARG00000105445	17093753	17097933	-1	CR769769.2	processed_transcript		11
ENSDARG00000078805	39112341	39118929	-1	ap5b1	protein_coding	adaptor related protein complex 5 subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-131121-204]	11
ENSDARG00000058893	7085889	7109063	-1	nhej1	protein_coding	nonhomologous end-joining factor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2515]	6
ENSDARG00000088881	13505064	13516745	-1	si:dkeyp-69b9.3	protein_coding	si:dkeyp-69b9.3 [Source:ZFIN;Acc:ZDB-GENE-100922-275]	16
ENSDARG00000095893	27222849	27225878	-1	si:dkey-85n7.7	protein_coding	si:dkey-85n7.7 [Source:ZFIN;Acc:ZDB-GENE-110408-52]	20
ENSDARG00000062376	23283890	23317477	-1	nlgn3b	protein_coding	neuroligin 3b [Source:ZFIN;Acc:ZDB-GENE-060526-197]	5
ENSDARG00000039490	28410664	28425011	1	pitpnaa	protein_coding	phosphatidylinositol transfer protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-040426-744]	15
ENSDARG00000020986	3431671	3439484	1	ctu1	protein_coding	cytosolic thiouridylase subunit 1 homolog (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-040426-704]	8
ENSDARG00000098626	17253149	17258812	-1	nitr12	protein_coding	novel immune-type receptor 12 [Source:ZFIN;Acc:ZDB-GENE-041001-1]	7
ENSDARG00000089187	12418613	12423778	-1	wfdc2	protein_coding	WAP four-disulfide core domain 2 [Source:ZFIN;Acc:ZDB-GENE-090313-47]	23
ENSDARG00000101165	55273988	55275497	1	si:dkey-157e10.8	protein_coding	si:dkey-157e10.8 [Source:ZFIN;Acc:ZDB-GENE-110914-202]	4
ENSDARG00000003175	26536950	26554325	1	stx5al	protein_coding	syntaxin 5A, like [Source:ZFIN;Acc:ZDB-GENE-030131-1825]	21
ENSDARG00000074846	57953239	57991638	-1	si:dkeyp-68b7.12	protein_coding	si:dkeyp-68b7.12 [Source:ZFIN;Acc:ZDB-GENE-141212-333]	2
ENSDARG00000026759	102506	109626	1	ldlrb	protein_coding	low density lipoprotein receptor b [Source:ZFIN;Acc:ZDB-GENE-040426-1254]	6
ENSDARG00000098213	55165697	55167082	-1	BX465836.1	processed_transcript	si:ch211-59m15.1 [Source:NCBI gene;Acc:101885906]	4
ENSDARG00000033099	14393059	14446512	-1	kif7	protein_coding	kinesin family member 7 [Source:ZFIN;Acc:ZDB-GENE-050307-1]	7
ENSDARG00000096970	24202623	24228356	1	BX119902.2	antisense		5
ENSDARG00000024184	33460794	33474029	1	narf	protein_coding	nuclear prelamin A recognition factor [Source:ZFIN;Acc:ZDB-GENE-040718-31]	12
ENSDARG00000076901	45200860	45202077	-1	CR376751.1	processed_transcript		8
ENSDARG00000009341	30586599	30618440	1	nrap	protein_coding	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	12
ENSDARG00000100546	36184751	36186346	1	or108-2	protein_coding	odorant receptor, family D, subfamily 108, member 2 [Source:NCBI gene;Acc:100150395]	10
ENSDARG00000090804	2522797	2560126	1	gpr155a	protein_coding	G protein-coupled receptor 155a [Source:ZFIN;Acc:ZDB-GENE-100922-89]	9
ENSDARG00000016977	23495600	23524374	1	snx27b	protein_coding	sorting nexin family member 27b [Source:ZFIN;Acc:ZDB-GENE-040426-1529]	16
ENSDARG00000058538	19838458	19878987	1	alcamb	protein_coding	activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768]	15
ENSDARG00000102175	50289916	50292583	1	hamp	protein_coding	hepcidin antimicrobial peptide [Source:ZFIN;Acc:ZDB-GENE-050726-1]	16
ENSDARG00000018153	32446169	32453932	1	nt5c1ba	protein_coding	5'-nucleotidase, cytosolic IB a [Source:ZFIN;Acc:ZDB-GENE-070424-103]	13
ENSDARG00000054533	26856253	26869392	1	araf	protein_coding	A-Raf proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-050102-2]	5
ENSDARG00000092243	45035418	45037752	-1	BX005065.1	lincRNA	si:ch211-163b2.2 [Source:NCBI gene;Acc:103911565]	8
ENSDARG00000038154	43032529	43036291	1	isca2	protein_coding	iron-sulfur cluster assembly 2 [Source:ZFIN;Acc:ZDB-GENE-131121-486]	17
ENSDARG00000036420	20383841	20436781	1	si:dkey-33c9.6	protein_coding	si:dkey-33c9.6 [Source:ZFIN;Acc:ZDB-GENE-130530-592]	7
ENSDARG00000098726	17725788	17999776	-1	rptor	protein_coding	regulatory associated protein of MTOR, complex 1 [Source:ZFIN;Acc:ZDB-GENE-130530-685]	6
ENSDARG00000098677	35960020	36033454	-1	zgc:174180	protein_coding	zgc:174180 [Source:ZFIN;Acc:ZDB-GENE-080206-1]	4
ENSDARG00000096511	19382427	19385077	-1	BX842692.1	sense_intronic		20
ENSDARG00000037652	9873295	9885326	-1	zgc:56409	protein_coding	zgc:56409 [Source:ZFIN;Acc:ZDB-GENE-040426-1019]	1
ENSDARG00000027963	42545797	42598328	1	camkva	protein_coding	CaM kinase-like vesicle-associated a [Source:ZFIN;Acc:ZDB-GENE-100819-2]	6
ENSDARG00000097726	15173611	15218956	1	si:ch211-149e23.4	protein_coding	si:ch211-149e23.4 [Source:ZFIN;Acc:ZDB-GENE-131121-606]	15
ENSDARG00000105456	43228412	43230364	-1	FO834831.1	lincRNA		11
ENSDARG00000095680	38947987	38949751	-1	AL845324.2	processed_transcript		11
ENSDARG00000011821	5237709	5314707	1	plod2	protein_coding	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]	24
ENSDARG00000095576	38922744	38924944	-1	si:ch211-122l14.7	protein_coding	si:ch211-122l14.7 [Source:ZFIN;Acc:ZDB-GENE-041014-263]	11
ENSDARG00000035875	32603627	32619257	1	tmem54b	protein_coding	transmembrane protein 54b [Source:ZFIN;Acc:ZDB-GENE-060503-898]	19
ENSDARG00000057074	29770966	29790222	1	rpgrb	protein_coding	retinitis pigmentosa GTPase regulator b [Source:ZFIN;Acc:ZDB-GENE-081015-2]	11
ENSDARG00000075181	5521671	5536927	1	crfb16	protein_coding	cytokine receptor family member B16 [Source:ZFIN;Acc:ZDB-GENE-071120-9]	2
ENSDARG00000077950	3775551	3787325	1	tor1	protein_coding	torsin family 1 [Source:ZFIN;Acc:ZDB-GENE-080917-50]	21
ENSDARG00000079355	11098239	11178022	-1	flrt2	protein_coding	fibronectin leucine rich transmembrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-267]	20
ENSDARG00000044251	9159279	9184667	1	rasgef1bb	protein_coding	RasGEF domain family, member 1Bb [Source:ZFIN;Acc:ZDB-GENE-040801-220]	10
ENSDARG00000096398	8339298	8346939	1	si:ch211-276a17.5	protein_coding	si:ch211-276a17.5 [Source:ZFIN;Acc:ZDB-GENE-120215-248]	6
ENSDARG00000003144	20115774	20123002	-1	pxmp2	protein_coding	peroxisomal membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-040912-184]	5
ENSDARG00000016968	764100	779796	-1	tmem214	protein_coding	transmembrane protein 214 [Source:ZFIN;Acc:ZDB-GENE-110307-2]	4
ENSDARG00000090063	13558992	13614863	-1	fa2h	protein_coding	fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4]	25
ENSDARG00000033789	55780128	55785722	-1	ndufb7	protein_coding	NADH:ubiquinone oxidoreductase subunit B7 [Source:ZFIN;Acc:ZDB-GENE-040426-1886]	1
ENSDARG00000017522	11632834	11846958	-1	ctdp1	protein_coding	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040720-1]	19
ENSDARG00000077860	26408016	26483237	-1	ankhd1	protein_coding	ankyrin repeat and KH domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090421-1]	21
ENSDARG00000097025	26482517	26489393	1	CR354383.1	antisense		21
ENSDARG00000052097	5538485	5555500	-1	trim35-31	protein_coding	tripartite motif containing 35-31 [Source:ZFIN;Acc:ZDB-GENE-061009-3]	3
ENSDARG00000098675	36122310	36122372	1	traj55	TR_J_gene	T-cell receptor alpha joining 55 [Source:ZFIN;Acc:ZDB-GENE-170601-63]	2
ENSDARG00000045015	329687	339847	1	cyp27b1	protein_coding	cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-111005-2]	11
ENSDARG00000101490	3919591	3925886	-1	si:ch73-281i18.6	protein_coding	si:ch73-281i18.6 [Source:ZFIN;Acc:ZDB-GENE-141219-21]	19
ENSDARG00000008100	38315647	38340674	-1	slc7a10a	protein_coding	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10a [Source:ZFIN;Acc:ZDB-GENE-080116-1]	7
ENSDARG00000041340	4540981	4547193	-1	mrpl51	protein_coding	mitochondrial ribosomal protein L51 [Source:ZFIN;Acc:ZDB-GENE-050320-40]	16
ENSDARG00000087757	25035947	25039083	-1	pimr190	protein_coding	Pim proto-oncogene, serine/threonine kinase, related 190 [Source:ZFIN;Acc:ZDB-GENE-131119-2]	15
ENSDARG00000110990	25028482	25054730	1	BX908796.2	lincRNA		15
ENSDARG00000092491	24900571	24901912	-1	si:dkey-149i17.8	protein_coding	si:dkey-149i17.8 [Source:ZFIN;Acc:ZDB-GENE-070912-375]	2
ENSDARG00000045873	2092683	2099581	1	frs2a	protein_coding	fibroblast growth factor receptor substrate 2a [Source:ZFIN;Acc:ZDB-GENE-060503-462]	4
ENSDARG00000088072	25546672	25646149	-1	usp43b	protein_coding	ubiquitin specific peptidase 43b [Source:ZFIN;Acc:ZDB-GENE-120524-2]	3
ENSDARG00000096208	44954486	44956819	1	si:dkeyp-100h4.8	protein_coding	si:dkeyp-100h4.8 [Source:ZFIN;Acc:ZDB-GENE-110914-140]	4
ENSDARG00000070874	26815021	26826438	1	asmt2	protein_coding	acetylserotonin O-methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070410-45]	17
ENSDARG00000105588	28709931	28717559	-1	CU464087.1	unprocessed_pseudogene		7
ENSDARG00000075339	2994052	3022655	1	ipp	processed_transcript	intracisternal A particle-promoted polypeptide [Source:ZFIN;Acc:ZDB-GENE-080204-28]	2
ENSDARG00000045641	26738450	26753196	-1	usp3	protein_coding	ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142]	25
ENSDARG00000103025	6010570	6034397	1	hmgcs1	protein_coding	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	10
ENSDARG00000061439	40471826	40477865	1	ugt5c3	protein_coding	UDP glucuronosyltransferase 5 family, polypeptide C3 [Source:ZFIN;Acc:ZDB-GENE-050419-23]	18
ENSDARG00000102553	36098750	36098812	1	traj6	TR_J_gene	T-cell receptor alpha joining 6 [Source:ZFIN;Acc:ZDB-GENE-170601-14]	2
ENSDARG00000104269	46093254	46097432	-1	si:ch211-271d10.2	protein_coding	si:ch211-271d10.2 [Source:ZFIN;Acc:ZDB-GENE-141212-343]	16
ENSDARG00000052520	49933652	49950643	-1	sgms2a	protein_coding	sphingomyelin synthase 2a [Source:ZFIN;Acc:ZDB-GENE-070730-2]	1
ENSDARG00000018542	17828267	17831253	1	hapln4	protein_coding	hyaluronan and proteoglycan link protein 4 [Source:ZFIN;Acc:ZDB-GENE-060503-243]	22
ENSDARG00000074253	1305363	1308020	-1	olig3	protein_coding	oligodendrocyte transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-080903-1]	13
ENSDARG00000078768	24946321	24960781	-1	abhd15a	protein_coding	abhydrolase domain containing 15a [Source:ZFIN;Acc:ZDB-GENE-131121-270]	15
ENSDARG00000100858	2980248	3011514	-1	zgc:171695	protein_coding	zgc:171695 [Source:ZFIN;Acc:ZDB-GENE-071004-23]	7
ENSDARG00000062357	18177281	18287618	-1	fam19a1a	protein_coding	family with sequence similarity 19 member A1, C-C motif chemokine like a [Source:ZFIN;Acc:ZDB-GENE-090313-124]	23
ENSDARG00000019135	34868933	34902205	1	ankef1a	protein_coding	ankyrin repeat and EF-hand domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-196]	20
ENSDARG00000068711	15936216	16062938	-1	crfb4	protein_coding	cytokine receptor family member b4 [Source:ZFIN;Acc:ZDB-GENE-070905-3]	9
ENSDARG00000043002	5403848	5413018	-1	vmo1a	protein_coding	vitelline membrane outer layer 1 homolog a [Source:ZFIN;Acc:ZDB-GENE-131121-600]	3
ENSDARG00000090854	35392736	35405723	-1	lsm11	protein_coding	LSM11, U7 small nuclear RNA associated [Source:ZFIN;Acc:ZDB-GENE-050309-124]	14
ENSDARG00000056683	33767771	33780387	-1	cdk5	protein_coding	cyclin-dependent kinase 5 [Source:ZFIN;Acc:ZDB-GENE-010131-2]	24
ENSDARG00000098676	27108048	27126829	1	CU467043.1	antisense		6
ENSDARG00000012446	9008372	9046302	1	zgc:113057	protein_coding	zgc:113057 [Source:ZFIN;Acc:ZDB-GENE-050508-3]	7
ENSDARG00000078567	13700605	13788311	1	lonrf1l	protein_coding	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	8
ENSDARG00000021444	24161712	24163845	-1	prf1.2	protein_coding	perforin 1.2 [Source:ZFIN;Acc:ZDB-GENE-111212-3]	19
ENSDARG00000029263	23697997	23771945	1	hoxb3a	protein_coding	homeobox B3a [Source:ZFIN;Acc:ZDB-GENE-990415-104]	3
ENSDARG00000030472	26566422	26587231	-1	slc16a5a	protein_coding	solute carrier family 16 (monocarboxylate transporter), member 5a [Source:ZFIN;Acc:ZDB-GENE-121108-4]	12
ENSDARG00000042515	28960340	28974309	1	gpr176	protein_coding	G protein-coupled receptor 176 [Source:ZFIN;Acc:ZDB-GENE-041001-183]	20
ENSDARG00000042018	6578580	6601988	1	fhl2a	protein_coding	four and a half LIM domains 2a [Source:ZFIN;Acc:ZDB-GENE-040808-49]	9
ENSDARG00000036943	329808	340641	-1	golph3l	protein_coding	golgi phosphoprotein 3-like [Source:ZFIN;Acc:ZDB-GENE-051113-168]	19
ENSDARG00000015476	19820008	19880934	1	iqch	protein_coding	IQ motif containing H [Source:ZFIN;Acc:ZDB-GENE-050419-242]	18
ENSDARG00000089954	6603691	6641548	-1	si:ch211-189e2.3	protein_coding	si:ch211-189e2.3 [Source:ZFIN;Acc:ZDB-GENE-030131-6454]	17
ENSDARG00000002355	42124706	42132825	1	shpk	protein_coding	sedoheptulokinase [Source:ZFIN;Acc:ZDB-GENE-060526-357]	5
ENSDARG00000069537	7479201	7481036	-1	si:dkey-238c7.16	protein_coding	si:dkey-238c7.16 [Source:ZFIN;Acc:ZDB-GENE-030131-4169]	18
ENSDARG00000044457	29004062	29007493	-1	gfi1ab	protein_coding	growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8]	6
ENSDARG00000087798	41799748	41802335	1	pdyn	protein_coding	prodynorphin [Source:ZFIN;Acc:ZDB-GENE-060417-1]	23
ENSDARG00000101106	44027611	44037843	-1	si:ch73-109d9.3	protein_coding	si:ch73-109d9.3 [Source:ZFIN;Acc:ZDB-GENE-141212-331]	1
ENSDARG00000093521	13597405	13600274	-1	b3gnt3.3	protein_coding	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081105-12]	8
ENSDARG00000045443	4767806	4782052	-1	agtr1b	protein_coding	angiotensin II receptor, type 1b [Source:ZFIN;Acc:ZDB-GENE-110411-117]	24
ENSDARG00000058958	5344999	5362347	-1	trim35-7	protein_coding	tripartite motif containing 35-7 [Source:ZFIN;Acc:ZDB-GENE-050522-333]	3
ENSDARG00000019293	34950942	34968429	1	tfdp1a	protein_coding	transcription factor Dp-1, a [Source:ZFIN;Acc:ZDB-GENE-040426-2883]	9
ENSDARG00000094455	12584756	12607941	-1	CR293531.1	lincRNA		21
ENSDARG00000097849	23686198	23686700	-1	BX927395.1	lincRNA		3
ENSDARG00000078167	44470531	44518893	-1	si:dkeyp-100h4.1	protein_coding	si:dkeyp-100h4.1 [Source:ZFIN;Acc:ZDB-GENE-081103-7]	4
ENSDARG00000115890	1708760	1713309	1	si:dkey-1b17.9	protein_coding	si:dkey-1b17.9 [Source:ZFIN;Acc:ZDB-GENE-050208-546]	22
ENSDARG00000101085	328689	330937	1	ss18l2	protein_coding	synovial sarcoma translocation gene on chromosome 18-like 2 [Source:ZFIN;Acc:ZDB-GENE-050417-268]	18
ENSDARG00000007250	11070842	11079068	-1	use1	protein_coding	unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1015]	22
ENSDARG00000113690	54316804	54338253	-1	si:ch211-223g7.6	protein_coding	si:ch211-223g7.6 [Source:ZFIN;Acc:ZDB-GENE-050420-222]	4
ENSDARG00000011449	14211322	14266466	1	fes	protein_coding	FES proto-oncogene, tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-100812-10]	7
ENSDARG00000099200	42547699	42551338	-1	zgc:123103	protein_coding	zgc:123103 [Source:ZFIN;Acc:ZDB-GENE-051030-105]	19
ENSDARG00000040250	1915967	1923253	1	si:ch211-132g1.1	protein_coding	si:ch211-132g1.1 [Source:ZFIN;Acc:ZDB-GENE-090313-24]	1
ENSDARG00000044753	15733880	15749719	1	idh3b	protein_coding	isocitrate dehydrogenase 3 (NAD+) beta [Source:ZFIN;Acc:ZDB-GENE-040625-174]	21
ENSDARG00000006560	854444	879800	-1	irf4a	protein_coding	interferon regulatory factor 4a [Source:ZFIN;Acc:ZDB-GENE-070912-330]	2
ENSDARG00000099086	32074541	32148201	1	BX511142.1	antisense		14
ENSDARG00000074302	30551777	30554973	1	gpr183b	protein_coding	G protein-coupled receptor 183b [Source:ZFIN;Acc:ZDB-GENE-081031-74]	1
ENSDARG00000061371	29249204	29353179	1	cdh18a	protein_coding	cadherin 18, type 2a [Source:ZFIN;Acc:ZDB-GENE-060929-316]	2
ENSDARG00000063574	547107	552539	-1	mtg2	protein_coding	mitochondrial ribosome-associated GTPase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2209]	23
ENSDARG00000086471	25879320	25942859	1	pkig	protein_coding	protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:ZFIN;Acc:ZDB-GENE-050302-97]	23
ENSDARG00000002377	8521323	8532009	1	mief2	protein_coding	mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]	1
ENSDARG00000052129	27062512	27089014	1	boka	protein_coding	BCL2 family apoptosis regulator BOK a [Source:ZFIN;Acc:ZDB-GENE-040801-131]	6
ENSDARG00000098029	29333851	29357764	-1	si:ch211-129o18.4	protein_coding	si:ch211-129o18.4 [Source:ZFIN;Acc:ZDB-GENE-090313-22]	23
ENSDARG00000097268	39117499	39118364	1	CU929145.2	lincRNA		24
ENSDARG00000059773	37235924	37476475	-1	SRCIN1	protein_coding	si:ch211-278a6.1 [Source:ZFIN;Acc:ZDB-GENE-060503-699]	3
ENSDARG00000095453	20340200	20345473	-1	si:rp71-17i16.6	protein_coding	si:rp71-17i16.6 [Source:ZFIN;Acc:ZDB-GENE-090313-410]	23
ENSDARG00000097673	65756041	65757798	1	FP016235.1	lincRNA		7
ENSDARG00000056740	33708804	33756003	-1	tmeff1b	protein_coding	transmembrane protein with EGF-like and two follistatin-like domains 1b [Source:ZFIN;Acc:ZDB-GENE-050706-143]	24
ENSDARG00000033446	26546820	26559650	-1	tap2t	protein_coding	transporter associated with antigen processing, subunit type t, teleost specific [Source:ZFIN;Acc:ZDB-GENE-130531-48]	12
ENSDARG00000099899	34468977	34480599	-1	si:dkeyp-51g9.4	protein_coding	si:dkeyp-51g9.4 [Source:ZFIN;Acc:ZDB-GENE-160628-1]	4
ENSDARG00000077253	36650064	36654698	1	alkbh6	protein_coding	alkB homolog 6 [Source:ZFIN;Acc:ZDB-GENE-060407-1]	5
ENSDARG00000096836	29581495	29635923	-1	AL807792.1	lincRNA		8
ENSDARG00000105063	34443650	34480611	-1	si:ch211-64i20.3	protein_coding	si:ch211-64i20.3 [Source:ZFIN;Acc:ZDB-GENE-110913-55]	4
ENSDARG00000100694	54761141	54796072	-1	tnnt2b	protein_coding	troponin T type 2b (cardiac) [Source:ZFIN;Acc:ZDB-GENE-091106-2]	6
ENSDARG00000093799	52039067	52132978	1	setbp1	protein_coding	SET binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060526-72]	5
ENSDARG00000092995	14623831	14636303	1	BX294113.1	processed_transcript		24
ENSDARG00000052851	41082534	41103644	-1	golph3	protein_coding	golgi phosphoprotein 3 [Source:ZFIN;Acc:ZDB-GENE-041010-209]	5
ENSDARG00000009844	43113465	43118411	1	dusp23a	protein_coding	dual specificity phosphatase 23a [Source:ZFIN;Acc:ZDB-GENE-030131-2554]	20
ENSDARG00000018871	33744065	33749174	1	henmt1	protein_coding	HEN methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-050417-387]	20
ENSDARG00000102608	10062045	10073926	-1	zgc:109986	protein_coding	zgc:109986 [Source:ZFIN;Acc:ZDB-GENE-050522-136]	17
ENSDARG00000003818	2206495	2222707	-1	prkag1	protein_coding	protein kinase, AMP-activated, gamma 1 non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2188]	6
ENSDARG00000019156	20897849	20914829	-1	haus5	protein_coding	HAUS augmin-like complex, subunit 5 [Source:ZFIN;Acc:ZDB-GENE-041114-150]	8
ENSDARG00000038615	44383175	44398611	-1	pip4p1a	protein_coding	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-051113-312]	2
ENSDARG00000092774	210838	226800	-1	tarsl2	protein_coding	threonyl-tRNA synthetase-like 2 [Source:ZFIN;Acc:ZDB-GENE-081104-490]	18
ENSDARG00000092082	14995782	14996591	1	BX649639.1	processed_transcript		22
